Warehouse_block,Warehouse_city,Mode_of_Shipment,Name of charged warehouse's employee,LOADING_DATE,DELIVERED_TO_WAREHOUSE_DATE
Warehouse B,San Jose,Road,Tyler Bruce,22/01/2022,19/02/2022
Warehouse C,Boston,Road,Hope Horn,17/01/2022,14/02/2022
Warehouse B,San Jose,Road,Rio Hamilton,23/01/2022,20/02/2022
Warehouse D,New York,Road,Jose Stevenson,25/01/2022,22/02/2022
Warehouse B,San Jose,Road,Bryn Sherman,30/01/2022,27/02/2022
Warehouse A,Birmingham,Road,Seren Wiley,23/01/2022,20/02/2022
Warehouse B,San Jose,Road,Gabriel Winter,31/01/2022,28/02/2022
Warehouse C,Boston,Road,Rowan Hayes,31/01/2022,28/02/2022
Warehouse B,San Jose,Road,Alexis Rojas,12/01/2022,09/02/2022
Warehouse D,New York,Road,Stella Jacobson,14/01/2022,11/02/2022
Warehouse B,San Jose,Road,Remi Levine,14/02/2022,14/03/2022
Warehouse A,Birmingham,Road,Darcy Perkins,29/01/2022,26/02/2022
Warehouse B,San Jose,Road,Harmony Copeland,22/01/2022,19/02/2022
Warehouse C,Boston,Road,Evangeline Reynolds,14/01/2022,11/02/2022
Warehouse B,San Jose,Road,Madison Meadows,27/02/2022,27/03/2022
Warehouse D,New York,Road,Jenna Castro,21/01/2022,18/02/2022
Warehouse B,San Jose,Road,Alfie Shields,12/01/2022,09/02/2022
Warehouse A,Birmingham,Road,Sam Osborne,20/01/2022,17/02/2022
Warehouse B,San Jose,Road,Kane Doyle,06/01/2022,03/02/2022
Warehouse C,Boston,Road,Ada Gordon,27/01/2022,24/02/2022
Warehouse B,San Jose,Air,Elijah Heath,19/01/2022,16/02/2022
Warehouse D,New York,Air,Ines Higgins,22/01/2022,19/02/2022
Warehouse B,San Jose,Air,Everly Montoya,27/01/2022,24/02/2022
Warehouse A,Birmingham,Air,Kian Burke,26/01/2022,23/02/2022
Warehouse B,San Jose,Air,Saba Dickerson,06/01/2022,03/02/2022
Warehouse C,Boston,Air,Sidney Baxter,17/12/2021,14/01/2022
Warehouse B,San Jose,Air,Tegan Ibarra,05/02/2022,05/03/2022
Warehouse D,New York,Air,Eden Mclean,02/02/2022,02/03/2022
Warehouse B,San Jose,Air,Charley Short,10/02/2022,10/03/2022
Warehouse A,Birmingham,Air,Ebony Pineda,10/02/2022,10/03/2022
Warehouse B,San Jose,Air,Wyatt Michael,05/02/2022,05/03/2022
Warehouse C,Boston,Air,Marion Blair,01/02/2022,01/03/2022
Warehouse B,San Jose,Air,Shelby Roach,09/12/2021,06/01/2022
Warehouse D,New York,Air,Ciaran Ellis,05/12/2021,02/01/2022
Warehouse B,San Jose,Air,Kelsey Wall,13/01/2022,10/02/2022
Warehouse A,Birmingham,Air,Keziah Harper,07/02/2022,07/03/2022
Warehouse B,San Jose,Air,Carter Ortega,05/11/2021,03/12/2021
Warehouse C,Boston,Air,Joel Joyce,04/01/2022,01/02/2022
Warehouse B,San Jose,Air,Kyan Fields,31/01/2022,28/02/2022
Warehouse D,New York,Air,Jean Mccoy,31/01/2022,28/02/2022
Warehouse B,San Jose,Air,Armaan Kane,08/02/2022,08/03/2022
Warehouse A,Birmingham,Air,Mckenzie Hobbs,09/02/2022,09/03/2022
Warehouse B,San Jose,Ship,Felix Snow,10/02/2022,10/03/2022
Warehouse C,Boston,Ship,Kira Burgess,30/01/2022,27/02/2022
Warehouse B,San Jose,Ship,Kobi Gentry,17/12/2021,14/01/2022
Warehouse D,New York,Ship,Katerina Buck,05/12/2021,02/01/2022
Warehouse B,San Jose,Ship,Macy Norris,15/01/2022,12/02/2022
Warehouse A,Birmingham,Ship,Cordelia Young,12/01/2022,09/02/2022
Warehouse B,San Jose,Ship,Bailey Morrison,06/09/2020,04/10/2020
Warehouse C,Boston,Ship,Jorge Vincent,04/07/2020,01/08/2020
Warehouse B,San Jose,Ship,Syed Gonzales,30/12/2021,27/01/2022
Warehouse D,New York,Ship,Aiden Haas,11/02/2022,11/03/2022
Warehouse B,San Jose,Ship,Jaya Briggs,05/02/2022,05/03/2022
Warehouse A,Birmingham,Ship,Kieran Arroyo,11/02/2022,11/03/2022
Warehouse B,San Jose,Ship,Georgie Fox,12/01/2022,09/02/2022
Warehouse C,Boston,Ship,Ollie Lewis,29/01/2022,26/02/2022
Warehouse B,San Jose,Ship,Jay Ferguson,27/01/2022,24/02/2022
Warehouse D,New York,Ship,Sienna Hughes,20/01/2022,17/02/2022
Warehouse B,San Jose,Ship,Tatiana Barlow,30/01/2022,27/02/2022
Warehouse A,Birmingham,Ship,Jaime Adams,08/02/2022,08/03/2022
Warehouse B,San Jose,Ship,Leighton Moss,31/01/2022,28/02/2022
Warehouse C,Boston,Ship,Juliet Merritt,17/01/2020,14/02/2020
Warehouse B,San Jose,Ship,Mason Preston,02/01/2022,30/01/2022
Warehouse D,New York,Ship,Taha Mckee,20/02/2022,20/03/2022
Warehouse B,San Jose,Ship,Levi Waters,08/02/2022,08/03/2022
Warehouse A,Birmingham,Ship,Eliza Rangel,10/02/2022,10/03/2022
Warehouse B,San Jose,Ship,Lara Hardy,31/01/2022,28/02/2022
Warehouse C,Boston,Ship,Sasha Hunt,01/12/2021,29/12/2021
Warehouse B,San Jose,Ship,Callan Parrish,08/02/2022,08/03/2022
Warehouse D,New York,Ship,Aidan Bishop,29/01/2022,26/02/2022
Warehouse B,San Jose,Ship,Rayhan Montes,31/12/2021,28/01/2022
Warehouse A,Birmingham,Ship,Tia Oconnor,05/02/2022,05/03/2022
Warehouse B,San Jose,Ship,Dante Roth,05/11/2021,03/12/2021
Warehouse C,Boston,Ship,Sana Smith,03/01/2022,31/01/2022
Warehouse B,San Jose,Ship,Safa Benton,17/01/2022,14/02/2022
Warehouse D,New York,Ship,Faith Watson,13/01/2022,10/02/2022
Warehouse B,San Jose,Ship,Terry Mitchell,21/02/2022,21/03/2022
Warehouse A,Birmingham,Ship,Liberty Dunlap,10/02/2022,10/03/2022
Warehouse B,San Jose,Ship,Elena Herman,21/02/2022,21/03/2022
Warehouse C,Boston,Ship,Rebekah Wright,24/01/2022,21/02/2022
Warehouse B,San Jose,Ship,Sian Lester,16/01/2022,13/02/2022
Warehouse D,New York,Ship,Sydney Wyatt,27/11/2021,25/12/2021
Warehouse B,San Jose,Ship,Jordan Bush,20/11/2021,18/12/2021
Warehouse A,Birmingham,Ship,Spencer Simpson,18/01/2022,15/02/2022
Warehouse B,San Jose,Ship,Meredith Parks,08/02/2022,08/03/2022
Warehouse C,Boston,Ship,Malik Fleming,30/12/2021,27/01/2022
Warehouse B,San Jose,Ship,Taylor Romero,09/02/2022,09/03/2022
Warehouse D,New York,Ship,Colby Rodriguez,29/01/2022,26/02/2022
Warehouse B,San Jose,Ship,Jan Blankenship,06/02/2022,06/03/2022
Warehouse A,Birmingham,Ship,Phoenix James,13/01/2022,10/02/2022
Warehouse B,San Jose,Ship,Courtney Mays,13/01/2022,10/02/2022
Warehouse C,Boston,Ship,Darcey Hurst,29/01/2022,26/02/2022
Warehouse B,San Jose,Ship,Sion Doherty,06/02/2022,06/03/2022
Warehouse D,New York,Ship,Jayden Franklin,29/01/2022,26/02/2022
Warehouse B,San Jose,Ship,Kacie Trujillo,18/01/2022,15/02/2022
Warehouse A,Birmingham,Ship,Kelly Mccann,23/01/2022,20/02/2022
Warehouse B,San Jose,Ship,Ellis Kaufman,13/01/2022,10/02/2022
Warehouse C,Boston,Ship,Nevaeh Gilmore,08/02/2022,08/03/2022
Warehouse B,San Jose,Ship,Leslie Blackburn,20/01/2022,17/02/2022
Warehouse D,New York,Ship,Hayden Oliver,21/12/2021,18/01/2022
Warehouse B,San Jose,Ship,Tyler Bruce,12/01/2022,09/02/2022
Warehouse A,Birmingham,Ship,Hope Horn,22/01/2022,19/02/2022
Warehouse B,San Jose,Ship,Rio Hamilton,24/01/2022,21/02/2022
Warehouse C,Boston,Ship,Jose Stevenson,11/02/2022,11/03/2022
Warehouse B,San Jose,Ship,Bryn Sherman,25/01/2022,22/02/2022
Warehouse D,New York,Ship,Seren Wiley,02/02/2022,02/03/2022
Warehouse B,San Jose,Ship,Gabriel Winter,20/01/2022,17/02/2022
Warehouse A,Birmingham,Ship,Rowan Hayes,25/01/2022,22/02/2022
Warehouse B,San Jose,Ship,Alexis Rojas,06/01/2022,03/02/2022
Warehouse C,Boston,Ship,Stella Jacobson,21/12/2021,18/01/2022
Warehouse B,San Jose,Ship,Remi Levine,12/01/2022,09/02/2022
Warehouse D,New York,Ship,Darcy Perkins,23/01/2022,20/02/2022
Warehouse B,San Jose,Ship,Harmony Copeland,23/01/2022,20/02/2022
Warehouse A,Birmingham,Ship,Evangeline Reynolds,06/12/2021,03/01/2022
Warehouse B,San Jose,Ship,Madison Meadows,30/01/2022,27/02/2022
Warehouse C,Boston,Ship,Jenna Castro,25/01/2022,22/02/2022
Warehouse B,San Jose,Ship,Alfie Shields,24/01/2022,21/02/2022
Warehouse D,New York,Ship,Sam Osborne,14/01/2022,11/02/2022
Warehouse B,San Jose,Ship,Kane Doyle,23/12/2021,20/01/2022
Warehouse A,Birmingham,Ship,Ada Gordon,08/11/2021,06/12/2021
Warehouse B,San Jose,Ship,Elijah Heath,31/10/2021,28/11/2021
Warehouse C,Boston,Ship,Ines Higgins,19/12/2021,16/01/2022
Warehouse B,San Jose,Ship,Everly Montoya,08/12/2021,05/01/2022
Warehouse D,New York,Ship,Kian Burke,16/01/2022,13/02/2022
Warehouse B,San Jose,Ship,Saba Dickerson,07/12/2021,04/01/2022
Warehouse A,Birmingham,Ship,Sidney Baxter,30/01/2022,27/02/2022
Warehouse B,San Jose,Ship,Tegan Ibarra,13/01/2022,10/02/2022
Warehouse C,Boston,Ship,Eden Mclean,22/01/2022,19/02/2022
Warehouse B,San Jose,Ship,Charley Short,17/01/2022,14/02/2022
Warehouse D,New York,Ship,Ebony Pineda,23/01/2022,20/02/2022
Warehouse B,San Jose,Ship,Wyatt Michael,25/01/2022,22/02/2022
Warehouse A,Birmingham,Ship,Marion Blair,30/01/2022,27/02/2022
Warehouse B,San Jose,Ship,Shelby Roach,23/01/2022,20/02/2022
Warehouse C,Boston,Ship,Jerry Mueller,31/01/2022,28/02/2022
Warehouse B,San Jose,Ship,Corey Cline,31/01/2022,28/02/2022
Warehouse D,New York,Road,Rio Morrow,12/01/2022,09/02/2022
Warehouse B,San Jose,Road,Jaden Watson,14/01/2022,11/02/2022
Warehouse A,Birmingham,Road,Lenny Page,14/02/2022,14/03/2022
Warehouse B,San Jose,Road,Ellis Burnett,29/01/2022,26/02/2022
Warehouse C,Boston,Road,Maddison Ferrell,22/01/2022,19/02/2022
Warehouse B,San Jose,Road,Dylan Briggs,14/01/2022,11/02/2022
Warehouse D,New York,Road,Vivian Wade,27/02/2022,27/03/2022
Warehouse B,San Jose,Road,Neo Welsh,21/01/2022,18/02/2022
Warehouse A,Birmingham,Road,Sydney Miranda,12/01/2022,09/02/2022
Warehouse B,San Jose,Road,Malik Rose,20/01/2022,17/02/2022
Warehouse C,Boston,Road,Eliza Blaese,06/01/2022,03/02/2022
Warehouse B,San Jose,Road,Stevie Long,27/01/2022,24/02/2022
Warehouse D,New York,Road,Jay Bowen,19/01/2022,16/02/2022
Warehouse B,San Jose,Road,Claire Wilkinson,22/01/2022,19/02/2022
Warehouse A,Birmingham,Road,Julia Jefferson,27/01/2022,24/02/2022
Warehouse B,San Jose,Road,Stella Herrera,26/01/2022,23/02/2022
Warehouse C,Boston,Road,Esme Sandoval,06/01/2022,03/02/2022
Warehouse B,San Jose,Road,Casey Park,17/12/2021,14/01/2022
Warehouse D,New York,Road,Francis Riggs,05/02/2022,05/03/2022
Warehouse B,San Jose,Road,Meredith Buckley,02/02/2022,02/03/2022
Warehouse A,Birmingham,Road,Mason Cain,10/02/2022,10/03/2022
Warehouse B,San Jose,Road,Kristen Carter,10/02/2022,10/03/2022
Warehouse C,Boston,Air,Jade Powell,05/02/2022,05/03/2022
Warehouse B,San Jose,Air,Cian Escobar,01/02/2022,01/03/2022
Warehouse D,New York,Air,Sian Mann,09/12/2021,06/01/2022
Warehouse B,San Jose,Air,Brooke York,05/12/2021,02/01/2022
Warehouse A,Birmingham,Air,Bryn Mills,13/01/2022,10/02/2022
Warehouse B,San Jose,Air,Kira Garcia,07/02/2022,07/03/2022
Warehouse C,Boston,Air,Jan Garrett,05/11/2021,03/12/2021
Warehouse B,San Jose,Air,Jean Callahan,04/01/2022,01/02/2022
Warehouse D,New York,Air,Rayhan Nixon,31/01/2022,28/02/2022
Warehouse B,San Jose,Air,Ines Pittman,31/01/2022,28/02/2022
Warehouse A,Birmingham,Air,Mackenzie Carroll,08/02/2022,08/03/2022
Warehouse B,San Jose,Air,Dale Wall,09/02/2022,09/03/2022
Warehouse C,Boston,Air,Marley Solis,10/02/2022,10/03/2022
Warehouse B,San Jose,Air,Saba Howell,30/01/2022,27/02/2022
Warehouse D,New York,Air,Evan Patel,17/12/2021,14/01/2022
Warehouse B,San Jose,Air,Mattie Shaffer,05/12/2021,02/01/2022
Warehouse A,Birmingham,Air,Tyrese Dean,15/01/2022,12/02/2022
Warehouse B,San Jose,Air,Elena Vance,12/01/2022,09/02/2022
Warehouse C,Boston,Air,Troy Rush,06/09/2020,04/10/2020
Warehouse B,San Jose,Air,Cruz Fowler,04/07/2020,01/08/2020
Warehouse D,New York,Air,Ebony Odom,30/12/2021,27/01/2022
Warehouse B,San Jose,Air,Colby Steele,11/02/2022,11/03/2022
Warehouse A,Birmingham,Ship,Jaya Boyle,05/02/2022,05/03/2022
Warehouse B,San Jose,Ship,Ray Francis,11/02/2022,11/03/2022
Warehouse C,Boston,Ship,Aidan Peters,12/01/2022,09/02/2022
Warehouse B,San Jose,Ship,Robin Hess,29/01/2022,26/02/2022
Warehouse D,New York,Ship,Aoife Santos,27/01/2022,24/02/2022
Warehouse B,San Jose,Ship,Ali Newman,20/01/2022,17/02/2022
Warehouse A,Birmingham,Ship,Marissa Medina,30/01/2022,27/02/2022
Warehouse B,San Jose,Ship,Andrea Barry,08/02/2022,08/03/2022
Warehouse C,Boston,Ship,Georgie Espinoza,31/01/2022,28/02/2022
Warehouse B,San Jose,Ship,Freddie Carpenter,17/01/2020,14/02/2020
Warehouse D,New York,Ship,Sienna Flynn,02/01/2022,30/01/2022
Warehouse B,San Jose,Ship,Anika Gill,20/02/2022,20/03/2022
Warehouse A,Birmingham,Ship,Rebekah Gilbert,08/02/2022,08/03/2022
Warehouse B,San Jose,Ship,Kyan Robertson,10/02/2022,10/03/2022
Warehouse C,Boston,Ship,Harri Oconnor,31/01/2022,28/02/2022
Warehouse B,San Jose,Ship,Leighton Joyce,01/12/2021,29/12/2021
Warehouse D,New York,Ship,Pearl Lawrence,08/02/2022,08/03/2022
Warehouse B,San Jose,Ship,Cory Kim,29/01/2022,26/02/2022
Warehouse A,Birmingham,Ship,Spencer Randolph,31/12/2021,28/01/2022
Warehouse B,San Jose,Ship,Juliet Bush,05/02/2022,05/03/2022
Warehouse C,Boston,Ship,Kelly Blackburn,05/11/2021,03/12/2021
Warehouse B,San Jose,Ship,Siobhan Cotton,03/01/2022,31/01/2022
Warehouse D,New York,Ship,Dana Parsons,17/01/2022,14/02/2022
Warehouse B,San Jose,Ship,Jude Bray,13/01/2022,10/02/2022
Warehouse A,Birmingham,Ship,Zain Lyons,21/02/2022,21/03/2022
Warehouse B,San Jose,Ship,Jaime Bentley,10/02/2022,10/03/2022
Warehouse C,Boston,Ship,Devon Orr,21/02/2022,21/03/2022
Warehouse B,San Jose,Ship,Lennox Willis,24/01/2022,21/02/2022
Warehouse D,New York,Ship,Wade Sullivan,16/01/2022,13/02/2022
Warehouse B,San Jose,Ship,Erica Cervantes,27/11/2021,25/12/2021
Warehouse A,Birmingham,Ship,Lee Pearson,20/11/2021,18/12/2021
Warehouse B,San Jose,Ship,Ollie Reese,18/01/2022,15/02/2022
Warehouse C,Boston,Ship,Cameron Shields,08/02/2022,08/03/2022
Warehouse B,San Jose,Ship,Louie Mccarthy,30/12/2021,27/01/2022
Warehouse D,New York,Ship,Harley Mason,09/02/2022,09/03/2022
Warehouse B,San Jose,Ship,Katrina Clayton,11/07/2021,08/08/2021
Warehouse A,Birmingham,Ship,Sana Mckee,24/07/2021,21/08/2021
Warehouse B,San Jose,Ship,Kobi Caldwell,07/07/2021,04/08/2021
Warehouse C,Boston,Ship,Safa Hodges,19/08/2021,16/09/2021
Warehouse B,San Jose,Ship,Nana Dickson,10/07/2021,07/08/2021
Warehouse D,New York,Ship,Oakley Sanford,26/09/2021,24/10/2021
Warehouse B,San Jose,Ship,Robbie Salinas,30/04/2021,28/05/2021
Warehouse A,Birmingham,Ship,Lachlan Dawson,24/04/2021,22/05/2021
Warehouse B,San Jose,Ship,Dante Gutierrez,06/06/2021,04/07/2021
Warehouse C,Boston,Ship,Virginia Moses,31/07/2021,28/08/2021
Warehouse B,San Jose,Ship,Ashleigh Graves,01/08/2021,29/08/2021
Warehouse D,New York,Ship,Courtney Klein,02/08/2021,30/08/2021
Warehouse B,San Jose,Ship,Mae Davis,03/08/2021,31/08/2021
Warehouse A,Birmingham,Ship,Aiden Terry,18/08/2021,15/09/2021
Warehouse B,San Jose,Ship,Alexis Dunlap,07/10/2021,04/11/2021
Warehouse C,Boston,Ship,Levi Collins,11/07/2021,08/08/2021
Warehouse B,San Jose,Ship,Kian Odling,08/07/2021,05/08/2021
Warehouse D,New York,Ship,Faith Meadows,12/08/2021,09/09/2021
Warehouse B,San Jose,Ship,Willie Richard,02/09/2021,30/09/2021
Warehouse A,Birmingham,Ship,Cordelia Holmes,03/09/2021,01/10/2021
Warehouse B,San Jose,Ship,Francis Riddle,04/09/2021,02/10/2021
Warehouse C,Boston,Ship,Jesse Hanna,05/09/2021,03/10/2021
Warehouse B,San Jose,Ship,Ronnie Kirk,06/09/2021,04/10/2021
Warehouse D,New York,Ship,Phoenix Haines,07/09/2021,05/10/2021
Warehouse B,San Jose,Ship,Willie Burton,08/09/2021,06/10/2021
Warehouse A,Birmingham,Ship,Haydn Mccarthy,09/09/2021,07/10/2021
Warehouse B,San Jose,Ship,Tatiana Mcdonald,18/07/2021,15/08/2021
Warehouse C,Boston,Ship,Gabriel Holland,14/09/2021,12/10/2021
Warehouse B,San Jose,Ship,Saba Bonner,21/09/2021,19/10/2021
Warehouse D,New York,Ship,Stella Jarvis,13/06/2021,11/07/2021
Warehouse B,San Jose,Ship,Armaan Mann,28/08/2021,25/09/2021
Warehouse A,Birmingham,Ship,Joel Gibbs,18/09/2021,16/10/2021
Warehouse B,San Jose,Ship,Angel Daugherty,15/09/2021,13/10/2021
Warehouse C,Boston,Ship,Jordan Fischer,16/09/2021,14/10/2021
Warehouse B,San Jose,Ship,Darcy Doherty,07/07/2021,04/08/2021
Warehouse D,New York,Ship,Jay Chan,12/07/2021,09/08/2021
Warehouse B,San Jose,Ship,Kira Huffman,06/09/2021,04/10/2021
Warehouse A,Birmingham,Ship,Kaden Bray,09/07/2021,06/08/2021
Warehouse B,San Jose,Ship,Seren Carroll,03/11/2021,01/12/2021
Warehouse C,Boston,Ship,Frances Webb,05/06/2021,03/07/2021
Warehouse B,San Jose,Ship,Mason Odonnell,19/09/2021,17/10/2021
Warehouse D,New York,Ship,Evangeline Baker,06/05/2021,03/06/2021
Warehouse B,San Jose,Ship,Wade Schwartz,18/09/2021,16/10/2021
Warehouse A,Birmingham,Ship,Eliza O'Connor,24/08/2021,21/09/2021
Warehouse B,San Jose,Ship,Morgan Sharpe,26/08/2021,23/09/2021
Warehouse C,Boston,Ship,Anita Everett,01/05/2021,29/05/2021
Warehouse B,San Jose,Ship,Evan Abbott,17/07/2021,14/08/2021
Warehouse D,New York,Ship,Kade Tapia,30/07/2021,27/08/2021
Warehouse B,San Jose,Ship,Kian Alvarez,18/09/2021,16/10/2021
Warehouse A,Birmingham,Ship,Jenna Hartman,19/09/2021,17/10/2021
Warehouse B,San Jose,Ship,Jaden Mayer,20/09/2021,18/10/2021
Warehouse C,Boston,Ship,Rebekah Bradford,20/07/2021,17/08/2021
Warehouse B,San Jose,Ship,Casey Grant,28/08/2021,25/09/2021
Warehouse D,New York,Ship,Hope Tanner,05/07/2021,02/08/2021
Warehouse B,San Jose,Ship,Sami Goodman,23/03/2021,20/04/2021
Warehouse A,Birmingham,Ship,Cleo Mckenzie,29/07/2021,26/08/2021
Warehouse B,San Jose,Ship,Tyrell Wells,24/07/2021,21/08/2021
Warehouse C,Boston,Ship,Cade Crosby,25/07/2021,22/08/2021
Warehouse B,San Jose,Road,Harley Ball,18/03/2021,15/04/2021
Warehouse D,New York,Road,Elijah Schultz,03/08/2021,31/08/2021
Warehouse B,San Jose,Road,Sienna Rush,19/08/2021,16/09/2021
Warehouse A,Birmingham,Road,Ciaran Flores,12/08/2021,09/09/2021
Warehouse B,San Jose,Road,Nicola Joyce,08/08/2021,05/09/2021
Warehouse C,Boston,Road,Siobhan Daniels,17/08/2021,14/09/2021
Warehouse B,San Jose,Road,Jorge Suarez,08/08/2021,05/09/2021
Warehouse D,New York,Road,Jade Ayala,18/06/2021,16/07/2021
Warehouse B,San Jose,Road,Elena Campbell,18/09/2021,16/10/2021
Warehouse A,Birmingham,Road,Adrian Gillespie,18/09/2021,16/10/2021
Warehouse B,San Jose,Road,Cruz Orozco,24/07/2021,21/08/2021
Warehouse C,Boston,Road,Brooke Garrett,30/07/2021,27/08/2021
Warehouse B,San Jose,Road,Meredith Middleton,19/09/2021,17/10/2021
Warehouse D,New York,Road,Sam Hebert,10/09/2021,08/10/2021
Warehouse B,San Jose,Road,Flynn Velasquez,02/10/2021,30/10/2021
Warehouse A,Birmingham,Road,Sion Hayes,10/09/2021,08/10/2021
Warehouse B,San Jose,Road,Kelsey Flynn,28/09/2021,26/10/2021
Warehouse C,Boston,Road,Brooklyn Aguirre,07/09/2021,05/10/2021
Warehouse B,San Jose,Road,Katerina Zamora,28/09/2021,26/10/2021
Warehouse D,New York,Road,Brogan Powers,18/08/2021,15/09/2021
Warehouse B,San Jose,Road,Cameron Hoover,07/09/2021,05/10/2021
Warehouse A,Birmingham,Road,Safa Porter,19/08/2021,16/09/2021
Warehouse B,San Jose,Air,Vivian Jordan,02/08/2021,30/08/2021
Warehouse C,Boston,Air,Cody Randolph,27/09/2021,25/10/2021
Warehouse B,San Jose,Air,Ashleigh Roberts,01/09/2021,29/09/2021
Warehouse D,New York,Air,Tyrese Spencer,28/09/2021,26/10/2021
Warehouse B,San Jose,Air,Rohan Fisher,29/09/2021,27/10/2021
Warehouse A,Birmingham,Air,Nora Lawrence,21/09/2021,19/10/2021
Warehouse B,San Jose,Air,Lachlan Guerrero,13/09/2021,11/10/2021
Warehouse C,Boston,Air,Callan Little,30/08/2021,27/09/2021
Warehouse B,San Jose,Air,Pearl Clark,15/08/2021,12/09/2021
Warehouse D,New York,Air,Felix Gomez,16/07/2021,13/08/2021
Warehouse B,San Jose,Air,Ty Norman,24/09/2021,22/10/2021
Warehouse A,Birmingham,Air,Carter Parsons,06/08/2021,03/09/2021
Warehouse B,San Jose,Air,Harmony Rasmussen,04/09/2021,02/10/2021
Warehouse C,Boston,Air,Taylor Pratt,18/09/2021,16/10/2021
Warehouse B,San Jose,Air,Jamie Paul,08/06/2021,06/07/2021
Warehouse D,New York,Air,Elisha Shelton,22/05/2021,19/06/2021
Warehouse B,San Jose,Air,Tyler Vargas,06/08/2021,03/09/2021
Warehouse A,Birmingham,Air,Regan England,08/07/2021,05/08/2021
Warehouse B,San Jose,Air,Benedict Reilly,13/08/2021,10/09/2021
Warehouse C,Boston,Air,Hayden Dalton,30/09/2021,28/10/2021
Warehouse B,San Jose,Air,Nate Rich,28/09/2021,26/10/2021
Warehouse D,New York,Air,Ada Patterson,04/10/2021,01/11/2021
Warehouse B,San Jose,Ship,Lyndon Petty,07/10/2021,04/11/2021
Warehouse A,Birmingham,Ship,Claudia Riggs,02/10/2021,30/10/2021
Warehouse B,San Jose,Ship,Sian Knight,30/09/2021,28/10/2021
Warehouse C,Boston,Ship,Jaydon Sosa,06/10/2021,03/11/2021
Warehouse B,San Jose,Ship,Logan Woodard,05/10/2021,02/11/2021
Warehouse D,New York,Ship,Anika Barlow,31/05/2020,28/06/2020
Warehouse B,San Jose,Ship,Courtney Hilton,28/09/2021,26/10/2021
Warehouse A,Birmingham,Ship,Robbie Thornton,04/10/2021,01/11/2021
Warehouse B,San Jose,Ship,Mae Hall,05/10/2021,02/11/2021
Warehouse C,Boston,Ship,Shannon Best,30/09/2021,28/10/2021
Warehouse B,San Jose,Ship,Raja Nunez,01/10/2021,29/10/2021
Warehouse D,New York,Ship,Cian Merrill,06/10/2021,03/11/2021
Warehouse B,San Jose,Ship,Keeley Singh,27/08/2021,24/09/2021
Warehouse A,Birmingham,Ship,Harris Browning,06/07/2021,03/08/2021
Warehouse B,San Jose,Ship,Jean Jennings,02/09/2021,30/09/2021
Warehouse C,Boston,Ship,Nana Perry,09/09/2021,07/10/2021
Warehouse B,San Jose,Ship,Abby Graham,09/10/2021,06/11/2021
Warehouse D,New York,Ship,Cordelia Holmes,26/09/2021,24/10/2021
Warehouse B,San Jose,Ship,Francis Riddle,21/10/2021,18/11/2021
Warehouse A,Birmingham,Ship,Jesse Hanna,01/11/2021,29/11/2021
Warehouse B,San Jose,Ship,Ronnie Kirk,28/09/2021,26/10/2021
Warehouse C,Boston,Ship,Phoenix Haines,29/09/2021,27/10/2021
Warehouse B,San Jose,Ship,Willie Burton,30/09/2021,28/10/2021
Warehouse D,New York,Ship,Haydn Mccarthy,26/09/2021,24/10/2021
Warehouse B,San Jose,Ship,Tatiana Mcdonald,27/09/2021,25/10/2021
Warehouse A,Birmingham,Ship,Gabriel Holland,27/08/2021,24/09/2021
Warehouse B,San Jose,Ship,Saba Bonner,10/12/2021,07/01/2022
Warehouse C,Boston,Ship,Stella Jarvis,31/08/2021,28/09/2021
Warehouse B,San Jose,Ship,Armaan Mann,19/10/2021,16/11/2021
Warehouse D,New York,Ship,Joel Gibbs,08/10/2021,05/11/2021
Warehouse B,San Jose,Ship,Angel Daugherty,07/10/2021,04/11/2021
Warehouse A,Birmingham,Ship,Jordan Fischer,08/10/2021,05/11/2021
Warehouse B,San Jose,Ship,Darcy Doherty,09/10/2021,06/11/2021
Warehouse C,Boston,Ship,Jay Chan,10/10/2021,07/11/2021
Warehouse B,San Jose,Ship,Kira Huffman,30/09/2021,28/10/2021
Warehouse D,New York,Ship,Kaden Bray,01/10/2021,29/10/2021
Warehouse B,San Jose,Ship,Seren Carroll,03/10/2021,31/10/2021
Warehouse A,Birmingham,Ship,Frances Webb,01/10/2021,29/10/2021
Warehouse B,San Jose,Ship,Mason Odonnell,02/10/2021,30/10/2021
Warehouse C,Boston,Ship,Evangeline Baker,03/10/2021,31/10/2021
Warehouse B,San Jose,Ship,Wade Schwartz,01/10/2021,29/10/2021
Warehouse D,New York,Ship,Eliza O'Connor,21/11/2021,19/12/2021
Warehouse B,San Jose,Ship,Morgan Sharpe,22/11/2021,20/12/2021
Warehouse A,Birmingham,Ship,Anita Everett,04/10/2021,01/11/2021
Warehouse B,San Jose,Ship,Evan Abbott,13/10/2021,10/11/2021
Warehouse C,Boston,Ship,Kade Tapia,27/09/2021,25/10/2021
Warehouse B,San Jose,Ship,Kian Alvarez,16/10/2021,13/11/2021
Warehouse D,New York,Ship,Jenna Hartman,28/10/2021,25/11/2021
Warehouse B,San Jose,Ship,Jaden Mayer,24/09/2021,22/10/2021
Warehouse A,Birmingham,Ship,Rebekah Bradford,06/10/2021,03/11/2021
Warehouse B,San Jose,Ship,Casey Grant,07/10/2021,04/11/2021
Warehouse C,Boston,Ship,Hope Tanner,08/10/2021,05/11/2021
